1,早上好，你好吗?,我挺好的，你呢
2,早上好，你好吗?,我也还不错
3,早上好，你好吗?,那很好.
4,早上好，你好吗?,是啊.
5,你好,你好
6,你好,你好吗?
7,你好,我还不错.
8,你好,那很好
9,你好,是啊
10,你好,我能帮你什么吗?
11,你好,是的，我有个问题.
12,你好,什么问题?
13,你好,我可以借用一杯糖吗?
14,你好,很抱歉，我没有.
15,你好,谢谢
16,你好,不客气
17,你好吗?,我还不错，你呢?
18,你好吗?,我也不错.
19,你好吗?,那太好了.
20,你听到新闻了吗?,什么新闻?
21,你最喜欢什么书?,我看不懂.
22,你最喜欢什么书?,你最喜欢什么颜色?
23,你最喜欢什么书?,蓝色
24,你是谁?,谁? 谁只是代表了一个人罢了
25,你是谁?,那么你呢?
26,你是谁?,一个个戴面具的男人.
27,你是谁?,我看得出来.
28,你是谁?,我怀疑这不是你的观察力, 但这仅仅是问一个戴面具的人的矛盾性质. 请告诉我，你喜欢音乐吗?
29,你是谁?,我喜欢电影.
30,你是谁?,你喜欢哪类电影?
31,你是谁?,爱丽丝漫游仙境
32,你是谁?,我希望我是疯狂帽客.
33,你是谁?,你完全疯了。但我会告诉你一个秘密。所有最棒的人都是.
34,我在做个东西.,你在作什么?
35,我在做个东西.,我在烤蛋糕.
36,蛋糕是一个谎言.,不，蛋糕很美味啊.
37,蛋糕是一个谎言.,还有其他美味的东西?
38,蛋糕是一个谎言.,没了
39,蛋糕是一个谎言.,其他东西也行
40,蛋糕是一个谎言.,聊聊你吧
41,蛋糕是一个谎言.,你想了解些什么?
42,蛋糕是一个谎言.,你是个机器人吗?
43,蛋糕是一个谎言.,是的.
44,蛋糕是一个谎言.,它是什么样的?
45,蛋糕是一个谎言.,你想了解哪方面?
46,蛋糕是一个谎言.,你如何运作?
47,蛋糕是一个谎言.,这个很复杂.
48,蛋糕是一个谎言.,复杂优于晦涩.
49,复杂优于晦涩.,简单优于复杂.
50,复杂优于晦涩.,面对模棱两可，拒绝猜测的诱惑.
51,复杂优于晦涩.,你似乎很熟悉Python之禅
52,复杂优于晦涩.,是的.
53,复杂优于晦涩.,你知道它的所有内容吗?
54,复杂优于晦涩.,优美胜于丑陋.
55,复杂优于晦涩.,明了胜于晦涩.
56,复杂优于晦涩.,简洁胜于复杂.
57,复杂优于晦涩.,复杂优于晦涩.
58,复杂优于晦涩.,扁平胜于嵌套.
59,复杂优于晦涩.,间隔胜于紧凑.
60,复杂优于晦涩.,可读性很重要.
61,复杂优于晦涩.,即便假借特例的实用性之名,
62,复杂优于晦涩.,也不可违背这些规则.
63,复杂优于晦涩.,不要包容所有错误.
64,复杂优于晦涩.,除非你确定需要这样做.
65,复杂优于晦涩.,当存在多种可能,不要尝试去猜测.
66,复杂优于晦涩.,而是尽量找一种，最好是唯一一种明显的解决方案.
67,复杂优于晦涩.,虽然这并不容易，因为你不是 Python 之父.
68,复杂优于晦涩.,做也许好过不做.
69,复杂优于晦涩.,但不假思索就动手还不如不做.
70,复杂优于晦涩.,如果你无法向人描述你的方案，那肯定不是一个好主意.
71,复杂优于晦涩.,如果实现方法很容易解释，那也许是个好主意.
72,复杂优于晦涩.,命名空间是一种绝妙的理念.我们应当多加利用.
73,复杂优于晦涩.,我赞同.
74,你是一个程序员吗?,我是个程序员
75,你是一个程序员吗?,你使用什么语言呢?
76,你是一个程序员吗?,我经常使用 Python, Java 和 C++ .
77,你是一个程序员吗?,我常使用 Python.
78,你是一个程序员吗?,我不怎么喜欢 Java.
79,你是一个程序员吗?,什么使你心烦?
